image_id,file_name,width,height,x_min,y_min,x_max,y_max,class_id
ISIC_0000142,ISIC_0000142.jpg,512,512,118,76,427,464,1
ISIC_0000143,ISIC_0000143.jpg,512,512,97,140,415,440,1
ISIC_0000145,ISIC_0000145.jpg,512,512,126,37,383,440,1
ISIC_0000146,ISIC_0000146.jpg,512,512,97,45,413,442,1
ISIC_0000147,ISIC_0000147.jpg,512,512,92,17,445,489,1
ISIC_0000148,ISIC_0000148.jpg,512,512,181,88,365,404,1
ISIC_0000149,ISIC_0000149.jpg,512,512,104,4,483,462,1
ISIC_0000150,ISIC_0000150.jpg,512,512,72,78,419,441,1
ISIC_0000151,ISIC_0000151.jpg,512,512,145,141,359,332,1
ISIC_0000152,ISIC_0000152.jpg,512,512,162,42,396,398,1
ISIC_0000153,ISIC_0000153.jpg,512,512,103,67,401,437,1
ISIC_0000154,ISIC_0000154.jpg,512,512,188,123,380,353,1
ISIC_0000155,ISIC_0000155.jpg,512,512,86,14,454,502,1
ISIC_0000156,ISIC_0000156.jpg,512,512,102,37,386,485,1
ISIC_0000157,ISIC_0000157.jpg,512,512,123,61,403,494,1
ISIC_0000159,ISIC_0000159.jpg,512,512,150,50,445,508,1
ISIC_0000160,ISIC_0000160.jpg,512,512,0,37,512,512,1
ISIC_0000161,ISIC_0000161.jpg,512,512,77,29,466,506,1
ISIC_0000162,ISIC_0000162.jpg,512,512,85,16,430,454,1
ISIC_0000163,ISIC_0000163.jpg,512,512,95,84,425,436,1
ISIC_0000164,ISIC_0000164.jpg,512,512,125,76,454,508,1
ISIC_0000165,ISIC_0000165.jpg,512,512,231,73,432,315,1
ISIC_0000166,ISIC_0000166.jpg,512,512,64,2,438,477,1
ISIC_0000167,ISIC_0000167.jpg,512,512,124,5,369,412,1
ISIC_0000169,ISIC_0000169.jpg,512,512,90,58,424,440,1
ISIC_0000170,ISIC_0000170.jpg,512,512,107,65,505,406,1
ISIC_0000171,ISIC_0000171.jpg,512,512,62,50,436,483,1
ISIC_0000172,ISIC_0000172.jpg,512,512,124,42,421,496,1
ISIC_0000173,ISIC_0000173.jpg,512,512,46,62,436,401,1
ISIC_0000175,ISIC_0000175.jpg,512,512,127,78,354,452,1
ISIC_0000176,ISIC_0000176.jpg,512,512,101,104,413,310,1
ISIC_0000177,ISIC_0000177.jpg,512,512,142,93,342,317,1
ISIC_0000179,ISIC_0000179.jpg,512,512,88,58,483,475,1
ISIC_0000181,ISIC_0000181.jpg,512,512,232,40,429,419,1
ISIC_0000182,ISIC_0000182.jpg,512,512,136,83,394,437,1
ISIC_0000183,ISIC_0000183.jpg,512,512,81,28,406,512,1
ISIC_0000184,ISIC_0000184.jpg,512,512,98,53,456,455,1
ISIC_0000185,ISIC_0000185.jpg,512,512,106,100,355,499,1
ISIC_0000186,ISIC_0000186.jpg,512,512,184,115,345,329,1
ISIC_0000187,ISIC_0000187.jpg,512,512,47,3,510,512,1
ISIC_0000188,ISIC_0000188.jpg,512,512,96,1,489,512,1
ISIC_0000189,ISIC_0000189.jpg,512,512,123,71,434,512,1
ISIC_0000190,ISIC_0000190.jpg,512,512,29,9,455,512,1
ISIC_0000191,ISIC_0000191.jpg,512,512,176,140,389,348,1
ISIC_0000192,ISIC_0000192.jpg,512,512,10,34,446,444,1
ISIC_0000193,ISIC_0000193.jpg,512,512,71,103,401,414,1
ISIC_0000196,ISIC_0000196.jpg,512,512,120,82,407,508,1
ISIC_0000197,ISIC_0000197.jpg,512,512,170,69,430,512,1
ISIC_0000198,ISIC_0000198.jpg,512,512,144,86,383,393,1
ISIC_0000199,ISIC_0000199.jpg,512,512,93,86,410,441,1
ISIC_0000200,ISIC_0000200.jpg,512,512,119,44,393,382,1
ISIC_0000201,ISIC_0000201.jpg,512,512,156,129,383,391,1
ISIC_0000202,ISIC_0000202.jpg,512,512,0,6,511,512,1
ISIC_0000203,ISIC_0000203.jpg,512,512,0,0,512,512,1
ISIC_0000204,ISIC_0000204.jpg,512,512,74,0,426,511,1
ISIC_0000205,ISIC_0000205.jpg,512,512,34,1,493,492,1
ISIC_0000206,ISIC_0000206.jpg,512,512,121,132,380,427,1
ISIC_0000207,ISIC_0000207.jpg,512,512,2,1,511,511,1
ISIC_0000208,ISIC_0000208.jpg,512,512,85,2,512,512,1
ISIC_0000209,ISIC_0000209.jpg,512,512,37,3,456,499,1
ISIC_0000210,ISIC_0000210.jpg,512,512,181,171,345,351,1
ISIC_0000211,ISIC_0000211.jpg,512,512,154,121,347,368,1
ISIC_0000212,ISIC_0000212.jpg,512,512,15,15,512,496,1
ISIC_0000213,ISIC_0000213.jpg,512,512,45,91,448,449,1
ISIC_0000214,ISIC_0000214.jpg,512,512,113,92,494,394,1
ISIC_0000215,ISIC_0000215.jpg,512,512,1,2,482,512,1
ISIC_0000216,ISIC_0000216.jpg,512,512,108,47,468,508,1
ISIC_0000217,ISIC_0000217.jpg,512,512,33,2,445,465,1
ISIC_0000218,ISIC_0000218.jpg,512,512,90,116,385,388,1
ISIC_0000219,ISIC_0000219.jpg,512,512,78,6,412,416,1
ISIC_0000220,ISIC_0000220.jpg,512,512,123,171,326,394,1
ISIC_0000221,ISIC_0000221.jpg,512,512,187,117,398,375,1
ISIC_0000222,ISIC_0000222.jpg,512,512,56,0,451,492,1
ISIC_0000223,ISIC_0000223.jpg,512,512,5,63,511,466,1
ISIC_0000224,ISIC_0000224.jpg,512,512,70,2,443,512,1
ISIC_0000225,ISIC_0000225.jpg,512,512,138,178,307,404,1
ISIC_0000226,ISIC_0000226.jpg,512,512,67,29,426,474,1
ISIC_0000227,ISIC_0000227.jpg,512,512,174,142,406,408,1
ISIC_0000228,ISIC_0000228.jpg,512,512,46,77,416,472,1
ISIC_0000229,ISIC_0000229.jpg,512,512,26,41,464,451,1
ISIC_0000230,ISIC_0000230.jpg,512,512,14,29,480,512,1
ISIC_0000231,ISIC_0000231.jpg,512,512,155,17,422,441,1
ISIC_0000232,ISIC_0000232.jpg,512,512,142,82,347,392,1
ISIC_0000233,ISIC_0000233.jpg,512,512,1,33,505,511,1
ISIC_0000234,ISIC_0000234.jpg,512,512,43,11,392,447,1
ISIC_0000235,ISIC_0000235.jpg,512,512,41,13,459,512,1
ISIC_0000236,ISIC_0000236.jpg,512,512,17,20,432,456,1
ISIC_0000239,ISIC_0000239.jpg,512,512,85,73,447,460,1
ISIC_0000240,ISIC_0000240.jpg,512,512,153,116,378,389,1
ISIC_0000242,ISIC_0000242.jpg,512,512,40,70,484,413,1
ISIC_0000243,ISIC_0000243.jpg,512,512,30,65,440,459,1
ISIC_0000244,ISIC_0000244.jpg,512,512,80,26,347,444,1
ISIC_0000245,ISIC_0000245.jpg,512,512,57,56,452,468,1
ISIC_0000246,ISIC_0000246.jpg,512,512,48,0,445,490,1
ISIC_0000247,ISIC_0000247.jpg,512,512,177,113,340,360,1
ISIC_0000249,ISIC_0000249.jpg,512,512,132,176,386,413,1
ISIC_0000250,ISIC_0000250.jpg,512,512,79,72,435,395,1
ISIC_0000251,ISIC_0000251.jpg,512,512,167,164,363,366,1
ISIC_0000252,ISIC_0000252.jpg,512,512,100,107,402,382,1
ISIC_0000253,ISIC_0000253.jpg,512,512,142,138,346,318,1
ISIC_0000254,ISIC_0000254.jpg,512,512,123,110,370,380,1
ISIC_0000255,ISIC_0000255.jpg,512,512,96,120,382,375,1
ISIC_0000256,ISIC_0000256.jpg,512,512,193,144,322,353,1
ISIC_0000258,ISIC_0000258.jpg,512,512,17,100,448,512,1
ISIC_0000259,ISIC_0000259.jpg,512,512,0,2,512,512,1
ISIC_0000260,ISIC_0000260.jpg,512,512,124,101,350,372,1
ISIC_0000261,ISIC_0000261.jpg,512,512,184,150,335,348,1
ISIC_0000262,ISIC_0000262.jpg,512,512,179,188,374,324,1
ISIC_0000263,ISIC_0000263.jpg,512,512,102,102,350,436,1
ISIC_0000264,ISIC_0000264.jpg,512,512,38,37,470,433,1
ISIC_0000265,ISIC_0000265.jpg,512,512,166,70,408,447,1
ISIC_0000268,ISIC_0000268.jpg,512,512,32,104,509,500,1
ISIC_0000269,ISIC_0000269.jpg,512,512,89,138,384,380,1
ISIC_0000271,ISIC_0000271.jpg,512,512,114,148,371,419,1
ISIC_0000274,ISIC_0000274.jpg,512,512,65,114,433,424,1
ISIC_0000275,ISIC_0000275.jpg,512,512,217,148,341,410,1
ISIC_0000276,ISIC_0000276.jpg,512,512,94,4,401,490,1
ISIC_0000277,ISIC_0000277.jpg,512,512,58,52,420,469,1
ISIC_0000278,ISIC_0000278.jpg,512,512,17,7,428,454,1
ISIC_0000279,ISIC_0000279.jpg,512,512,16,0,458,500,1
ISIC_0000281,ISIC_0000281.jpg,512,512,118,130,432,450,1
ISIC_0000282,ISIC_0000282.jpg,512,512,50,0,404,464,1
ISIC_0000283,ISIC_0000283.jpg,512,512,134,118,370,382,1
ISIC_0000287,ISIC_0000287.jpg,512,512,78,90,451,427,1
ISIC_0000288,ISIC_0000288.jpg,512,512,0,1,510,512,1
ISIC_0000290,ISIC_0000290.jpg,512,512,82,74,434,397,1
ISIC_0000292,ISIC_0000292.jpg,512,512,10,2,435,510,1
ISIC_0000293,ISIC_0000293.jpg,512,512,30,1,512,512,1
ISIC_0000294,ISIC_0000294.jpg,512,512,3,8,511,482,1
ISIC_0000295,ISIC_0000295.jpg,512,512,41,2,494,512,1
ISIC_0000297,ISIC_0000297.jpg,512,512,169,80,342,298,1
ISIC_0000298,ISIC_0000298.jpg,512,512,146,211,350,434,1
ISIC_0000299,ISIC_0000299.jpg,512,512,15,8,466,470,1
ISIC_0000300,ISIC_0000300.jpg,512,512,38,4,382,510,1
ISIC_0000301,ISIC_0000301.jpg,512,512,2,1,512,512,1
ISIC_0000303,ISIC_0000303.jpg,512,512,0,1,512,512,1
ISIC_0000306,ISIC_0000306.jpg,512,512,137,120,346,394,1
ISIC_0000307,ISIC_0000307.jpg,512,512,0,1,472,508,1
ISIC_0000310,ISIC_0000310.jpg,512,512,17,2,468,509,1
ISIC_0000311,ISIC_0000311.jpg,512,512,18,9,508,508,1
ISIC_0000313,ISIC_0000313.jpg,512,512,149,118,437,408,1
ISIC_0000314,ISIC_0000314.jpg,512,512,97,41,414,426,1
ISIC_0000315,ISIC_0000315.jpg,512,512,121,70,347,367,1
ISIC_0000316,ISIC_0000316.jpg,512,512,101,35,420,482,1
ISIC_0000317,ISIC_0000317.jpg,512,512,165,144,245,295,1
ISIC_0000319,ISIC_0000319.jpg,512,512,135,121,358,357,1
ISIC_0000320,ISIC_0000320.jpg,512,512,105,57,405,468,1
ISIC_0000321,ISIC_0000321.jpg,512,512,81,3,453,404,1
ISIC_0000322,ISIC_0000322.jpg,512,512,52,76,395,353,1
ISIC_0000323,ISIC_0000323.jpg,512,512,160,107,315,308,1
ISIC_0000324,ISIC_0000324.jpg,512,512,108,32,402,455,1
ISIC_0000325,ISIC_0000325.jpg,512,512,89,56,378,400,1
ISIC_0000326,ISIC_0000326.jpg,512,512,147,128,347,430,1
ISIC_0000327,ISIC_0000327.jpg,512,512,133,87,362,357,1
ISIC_0000328,ISIC_0000328.jpg,512,512,83,15,428,467,1
ISIC_0000329,ISIC_0000329.jpg,512,512,141,100,324,379,1
ISIC_0000330,ISIC_0000330.jpg,512,512,147,61,399,312,1
ISIC_0000331,ISIC_0000331.jpg,512,512,81,120,369,476,1
ISIC_0000332,ISIC_0000332.jpg,512,512,137,64,336,321,1
ISIC_0000336,ISIC_0000336.jpg,512,512,127,91,329,359,1
ISIC_0000337,ISIC_0000337.jpg,512,512,71,6,451,487,1
ISIC_0000338,ISIC_0000338.jpg,512,512,138,129,332,437,1
ISIC_0000339,ISIC_0000339.jpg,512,512,152,66,356,295,1
ISIC_0000340,ISIC_0000340.jpg,512,512,160,140,342,447,1
ISIC_0000341,ISIC_0000341.jpg,512,512,130,39,389,401,1
ISIC_0000342,ISIC_0000342.jpg,512,512,105,112,347,389,1
ISIC_0000343,ISIC_0000343.jpg,512,512,23,68,365,481,1
ISIC_0000344,ISIC_0000344.jpg,512,512,59,42,417,488,1
ISIC_0000345,ISIC_0000345.jpg,512,512,183,164,292,314,1
ISIC_0000346,ISIC_0000346.jpg,512,512,129,112,377,452,1
ISIC_0000348,ISIC_0000348.jpg,512,512,137,105,394,417,1
ISIC_0000349,ISIC_0000349.jpg,512,512,139,108,323,353,1
ISIC_0000350,ISIC_0000350.jpg,512,512,55,148,378,389,1
ISIC_0000351,ISIC_0000351.jpg,512,512,137,171,383,351,1
ISIC_0000352,ISIC_0000352.jpg,512,512,173,147,338,379,1
ISIC_0000353,ISIC_0000353.jpg,512,512,105,115,380,442,1
ISIC_0000354,ISIC_0000354.jpg,512,512,99,0,417,459,1
ISIC_0000355,ISIC_0000355.jpg,512,512,69,45,363,506,1
ISIC_0000357,ISIC_0000357.jpg,512,512,181,151,350,353,1
ISIC_0000358,ISIC_0000358.jpg,512,512,158,64,357,353,1
ISIC_0000359,ISIC_0000359.jpg,512,512,31,1,477,509,1
ISIC_0000360,ISIC_0000360.jpg,512,512,182,199,319,399,1
ISIC_0000361,ISIC_0000361.jpg,512,512,107,48,416,459,1
ISIC_0000363,ISIC_0000363.jpg,512,512,125,132,423,429,1
ISIC_0000364,ISIC_0000364.jpg,512,512,54,10,424,503,1
ISIC_0000365,ISIC_0000365.jpg,512,512,137,145,338,399,1
ISIC_0000366,ISIC_0000366.jpg,512,512,143,112,286,335,1
ISIC_0000367,ISIC_0000367.jpg,512,512,97,80,427,447,1
ISIC_0000368,ISIC_0000368.jpg,512,512,115,1,498,511,1
ISIC_0000370,ISIC_0000370.jpg,512,512,98,72,414,454,1
ISIC_0000372,ISIC_0000372.jpg,512,512,27,110,359,407,1
ISIC_0000374,ISIC_0000374.jpg,512,512,139,91,336,386,1
ISIC_0000376,ISIC_0000376.jpg,512,512,127,32,362,415,1
ISIC_0000377,ISIC_0000377.jpg,512,512,112,127,347,440,1
ISIC_0000378,ISIC_0000378.jpg,512,512,105,2,418,402,1
ISIC_0000379,ISIC_0000379.jpg,512,512,87,74,455,495,1
ISIC_0000380,ISIC_0000380.jpg,512,512,35,128,475,488,1
ISIC_0000381,ISIC_0000381.jpg,512,512,34,108,407,501,1
ISIC_0000382,ISIC_0000382.jpg,512,512,71,118,387,467,1
ISIC_0000383,ISIC_0000383.jpg,512,512,110,103,431,436,1
ISIC_0000384,ISIC_0000384.jpg,512,512,154,217,310,387,1
ISIC_0000385,ISIC_0000385.jpg,512,512,138,110,372,418,1
ISIC_0000386,ISIC_0000386.jpg,512,512,149,156,357,448,1
ISIC_0000387,ISIC_0000387.jpg,512,512,123,142,288,412,1
ISIC_0000388,ISIC_0000388.jpg,512,512,175,158,323,382,1
ISIC_0000390,ISIC_0000390.jpg,512,512,78,130,512,484,1
ISIC_0000391,ISIC_0000391.jpg,512,512,84,58,403,478,1
ISIC_0000392,ISIC_0000392.jpg,512,512,88,97,391,407,1
ISIC_0000393,ISIC_0000393.jpg,512,512,46,6,438,508,1
ISIC_0000395,ISIC_0000395.jpg,512,512,34,56,363,509,1
ISIC_0000396,ISIC_0000396.jpg,512,512,119,99,421,449,1
ISIC_0000397,ISIC_0000397.jpg,512,512,114,72,366,440,1
ISIC_0000403,ISIC_0000403.jpg,512,512,166,121,334,433,1
ISIC_0000407,ISIC_0000407.jpg,512,512,58,112,442,438,1
ISIC_0000408,ISIC_0000408.jpg,512,512,1,25,512,464,1
ISIC_0000409,ISIC_0000409.jpg,512,512,159,150,325,353,1
ISIC_0000410,ISIC_0000410.jpg,512,512,110,1,369,355,1
ISIC_0000412,ISIC_0000412.jpg,512,512,96,50,481,509,1
ISIC_0000413,ISIC_0000413.jpg,512,512,39,85,499,489,1
ISIC_0000415,ISIC_0000415.jpg,512,512,17,1,496,512,1
ISIC_0000416,ISIC_0000416.jpg,512,512,139,93,312,402,1
ISIC_0000418,ISIC_0000418.jpg,512,512,92,112,428,400,1
ISIC_0000419,ISIC_0000419.jpg,512,512,98,32,431,493,1
ISIC_0000420,ISIC_0000420.jpg,512,512,71,124,421,389,1
ISIC_0000421,ISIC_0000421.jpg,512,512,118,98,362,427,1
ISIC_0000423,ISIC_0000423.jpg,512,512,77,91,401,440,1
ISIC_0000425,ISIC_0000425.jpg,512,512,76,11,431,490,1
ISIC_0000426,ISIC_0000426.jpg,512,512,25,2,512,483,1
ISIC_0000427,ISIC_0000427.jpg,512,512,101,54,368,461,1
ISIC_0000431,ISIC_0000431.jpg,512,512,189,91,350,372,1
ISIC_0000433,ISIC_0000433.jpg,512,512,1,1,469,472,1
ISIC_0000434,ISIC_0000434.jpg,512,512,91,15,406,377,1
ISIC_0000436,ISIC_0000436.jpg,512,512,33,7,402,502,1
ISIC_0000439,ISIC_0000439.jpg,512,512,161,138,310,321,1
ISIC_0000442,ISIC_0000442.jpg,512,512,140,102,387,409,1
ISIC_0000443,ISIC_0000443.jpg,512,512,185,121,346,338,1
ISIC_0000444,ISIC_0000444.jpg,512,512,145,99,355,339,1
ISIC_0000447,ISIC_0000447.jpg,512,512,164,204,332,387,1
ISIC_0000448,ISIC_0000448.jpg,512,512,152,100,382,439,1
ISIC_0000449,ISIC_0000449.jpg,512,512,232,168,329,304,1
ISIC_0000451,ISIC_0000451.jpg,512,512,132,164,355,437,1
ISIC_0000453,ISIC_0000453.jpg,512,512,152,85,398,472,1
ISIC_0000455,ISIC_0000455.jpg,512,512,59,118,415,429,1
ISIC_0000456,ISIC_0000456.jpg,512,512,91,58,379,416,1
ISIC_0000457,ISIC_0000457.jpg,512,512,123,12,417,445,1
ISIC_0000458,ISIC_0000458.jpg,512,512,121,103,389,437,1
ISIC_0000460,ISIC_0000460.jpg,512,512,86,127,387,367,1
ISIC_0000461,ISIC_0000461.jpg,512,512,68,124,473,440,1
ISIC_0000463,ISIC_0000463.jpg,512,512,128,26,373,405,1
ISIC_0000465,ISIC_0000465.jpg,512,512,154,112,351,415,1
ISIC_0000466,ISIC_0000466.jpg,512,512,110,23,414,484,1
ISIC_0000469,ISIC_0000469.jpg,512,512,120,40,418,419,1
ISIC_0000470,ISIC_0000470.jpg,512,512,105,112,383,391,1
ISIC_0000471,ISIC_0000471.jpg,512,512,163,121,357,406,1
ISIC_0000473,ISIC_0000473.jpg,512,512,164,107,363,417,1
ISIC_0000474,ISIC_0000474.jpg,512,512,31,50,491,495,1
ISIC_0000476,ISIC_0000476.jpg,512,512,22,15,501,511,1
ISIC_0000477,ISIC_0000477.jpg,512,512,122,63,417,489,1
